H09G03.2a-1,2
Y55B1BR.4-1,2
C52A11.4-6,1
C11D9.1-1,2
C25G4.6-2,2
F17E5.1a-1,2
F54E7.3a-3,4
C43E11.6a-1,4
Y54G11A.10-1,1
C09G1.4-1,2
C52A11.4-9,2
C52A11.4-10,2
K01A6.2-3,1
C34F11.9a-1,1
K01A6.2-5,1
C25F6.2a-3,1
C52A11.4-8,1
K01A6.2-1,2
T21G5.4-1,2
K01A6.2-4,1
W03F11.6a-1,3
F25H2.2-1,1
C10C6.1-1,1
T10A3.1a-1,3
C33B4.3-1,1
C53B4.4a-1,2
Y38C1AB.4-2,2
F54E7.3a-2,2
PDZK1-2,1
PDLIM4-1,5
TIAM1-1,4
SHANK3-1,1
MPDZ-7,1
INADL-2,2
MAGI3-3,2
MPDZ-13,1
SNTA1-1,1
INADL-3,2
SLC9A3R2-2,1
MPDZ-2,2
MPDZ-1,2
MLLT4-1,2
LRRC7-1,1
TJP2-3,3
CASK-1,2
PTPN13-2,1
TJP1-3,3
HTRA1-1,2
SCRIB-3,1
MAGI1-4,2
MPDZ-4,4
TIAM2-1,1
HTRA3-1,2
APBA3-1,2
MPDZ-9,2
LIN7A-1,1
MPDZ-12,1
PTPN4-1,1
HTRA2-1,2
MPP6-1,2
PDZK1-1,1
MAGI1-2,1
DLG1-2,1
DLG1-1,1
DVL2-1,4
MPDZ-3,2
MPDZ-5,2
DLG1-3,1
INADL-6,1
PDLIM2-1,2
PTPN13-4,2
PARD3-3,4
SCRIB-2,1
DLG3-2,1
MPDZ-10,1
ERBB2IP-1,1
DLG4-3,1
DLG2-3,1
TJP1-1,1
MAGI3-2,1
PSCDBP-1,2
SCRIB-1,1
